run_id,experiment_name,model_name,log_loss_mean,log_loss_std,log_loss_min,log_loss_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,top_3_accuracy_mean,top_3_accuracy_std,top_3_accuracy_min,top_3_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,training_seconds_mean,training_seconds_std,training_seconds_min,training_seconds_max,model_iterations_mean,model_iterations_std,model_iterations_min,model_iterations_max
xgboost_gamma_0_1_alpha_0_0_lambda_1_0__20260719T035645Z,xgboost_gamma_0_1_alpha_0_0_lambda_1_0,xgboost,2.3026396823166673,,2.3026396823166673,2.3026396823166673,0.3071946441705819,,0.3071946441705819,0.3071946441705819,0.562572239150993,,0.562572239150993,0.562572239150993,0.0917706496925826,,0.0917706496925826,0.0917706496925826,76.55843024997739,,76.55843024997739,76.55843024997739,,,,
xgboost_gamma_0_5_alpha_0_0_lambda_1_0__20260719T035802Z,xgboost_gamma_0_5_alpha_0_0_lambda_1_0,xgboost,2.3008853540109317,,2.3008853540109317,2.3008853540109317,0.3065491826656059,,0.3065491826656059,0.3065491826656059,0.5620318527747339,,0.5620318527747339,0.5620318527747339,0.0932764221902617,,0.0932764221902617,0.0932764221902617,76.0850975420035,,76.0850975420035,76.0850975420035,,,,
xgboost_lambda_12_0__20260719T040542Z,xgboost_lambda_12_0,xgboost,2.294655610680172,,2.294655610680172,2.294655610680172,0.3071496119725603,,0.3071496119725603,0.3071496119725603,0.5644635914678996,,0.5644635914678996,0.5644635914678996,0.0911617091451632,,0.0911617091451632,0.0911617091451632,78.92199000000255,,78.92199000000255,78.92199000000255,,,,
xgboost_lambda_3_0__20260719T040142Z,xgboost_lambda_3_0,xgboost,2.2996160612368666,,2.2996160612368666,2.2996160612368666,0.308380492051817,,0.308380492051817,0.308380492051817,0.5633828187153815,,0.5633828187153815,0.5633828187153815,0.093775260630976,,0.093775260630976,0.093775260630976,78.03903991702828,,78.03903991702828,78.03903991702828,,,,
xgboost_lambda_5_0__20260719T040301Z,xgboost_lambda_5_0,xgboost,2.2963007351873075,,2.2963007351873075,2.2963007351873075,0.3076899983488194,,0.3076899983488194,0.3076899983488194,0.5640733124183791,,0.5640733124183791,0.5640733124183791,0.0932462079529805,,0.0932462079529805,0.0932462079529805,77.90186945800087,,77.90186945800087,77.90186945800087,,,,
xgboost_lambda_8_0__20260719T040421Z,xgboost_lambda_8_0,xgboost,2.295275993813462,,2.295275993813462,2.295275993813462,0.3093712004082919,,0.3093712004082919,0.3093712004082919,0.564958945646137,,0.564958945646137,0.564958945646137,0.0933375607559924,,0.0933375607559924,0.0933375607559924,78.64742829199531,,78.64742829199531,78.64742829199531,,,,
xgboost_lr_0_03_trees_600__20260719T033407Z,xgboost_lr_0_03_trees_600,xgboost,2.3053629162701923,,2.3053629162701923,2.3053629162701923,0.3056485387051742,,0.3056485387051742,0.3056485387051742,0.5625572284183191,,0.5625572284183191,0.5625572284183191,0.0915490628872215,,0.0915490628872215,0.0915490628872215,219.6988428339828,,219.6988428339828,219.6988428339828,,,,
xgboost_lr_0_05_trees_400__20260719T033025Z,xgboost_lr_0_05_trees_400,xgboost,2.3061590205473355,,2.3061590205473355,2.3061590205473355,0.3066392470616491,,0.3066392470616491,0.3066392470616491,0.5616265629925397,,0.5616265629925397,0.5616265629925397,0.0918247913007531,,0.0918247913007531,0.0918247913007531,146.56900183300604,,146.56900183300604,146.56900183300604,,,,
xgboost_lr_0_1_trees_200__20260719T032757Z,xgboost_lr_0_1_trees_200,xgboost,2.3096890425103,,2.3096890425103,2.3096890425103,0.3043275942298744,,0.3043275942298744,0.3043275942298744,0.5612362839430193,,0.5612362839430193,0.5612362839430193,0.0917423115579961,,0.0917423115579961,0.0917423115579961,75.9846456660016,,75.9846456660016,75.9846456660016,,,,
xgboost_lr_0_2_trees_100__20260719T032639Z,xgboost_lr_0_2_trees_100,xgboost,2.3176050202249696,,2.3176050202249696,2.3176050202249696,0.3034119395367688,,0.3034119395367688,0.3034119395367688,0.558008976418139,,0.558008976418139,0.558008976418139,0.0971346926120603,,0.0971346926120603,0.0971346926120603,40.34055291599361,,40.34055291599361,40.34055291599361,,,,
xgboost_sub_0_7_col_0_8__20260719T034302Z,xgboost_sub_0_7_col_0_8,xgboost,2.3049456474679952,,2.3049456474679952,2.3049456474679952,0.3049430342695027,,0.3049430342695027,0.3049430342695027,0.561371380537084,,0.561371380537084,0.561371380537084,0.0939173005800787,,0.0939173005800787,0.0939173005800787,77.40995387500152,,77.40995387500152,77.40995387500152,,,,
